Level,Region,Division,School_ID ,Province,Modified_ClassOrg_BasedonEnrollment,IndexScore
ES,Region II,Isabela,103900,ISABELA,Monograde,0.13
ES,Region II,Isabela,103901,ISABELA,Monograde,0.07
ES,Region II,Isabela,103902,ISABELA,Monograde,0.09
ES,Region II,Isabela,103903,ISABELA,Monograde,0.07
ES,Region II,Isabela,103904,ISABELA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103905,NUEVA VIZCAYA,Multigrade,0.14
ES,Region II,Nueva Vizcaya,103906,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103907,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.16
ES,Region II,Nueva Vizcaya,103908,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103909,NUEVA VIZCAYA,Monograde,0.1
ES,Region II,Nueva Vizcaya,103910,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103911,NUEVA VIZCAYA,Monograde,0.09
ES,Region II,Nueva Vizcaya,103912,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103913,NUEVA VIZCAYA,Monograde,0.16
ES,Region II,Nueva Vizcaya,103914,NUEVA VIZCAYA,Monograde,0.13
ES,Region II,Nueva Vizcaya,103915,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103916,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103917,NUEVA VIZCAYA,Monograde,0.07
ES,Region II,Nueva Vizcaya,103918,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.11
ES,Region II,Nueva Vizcaya,103919,NUEVA VIZCAYA,Monograde,0.15
ES,Region II,Nueva Vizcaya,103920,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.15
ES,Region II,Nueva Vizcaya,103921,NUEVA VIZCAYA,Monograde,0.11
ES,Region II,Nueva Vizcaya,103922,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103923,NUEVA VIZCAYA,Monograde,0.1
ES,Region II,Nueva Vizcaya,103924,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.12
ES,Region II,Nueva Vizcaya,103925,NUEVA VIZCAYA,Monograde,0.11
ES,Region II,Nueva Vizcaya,103926,NUEVA VIZCAYA,Monograde,0.14
ES,Region II,Nueva Vizcaya,103927,NUEVA VIZCAYA,Monograde,0.1
ES,Region II,Nueva Vizcaya,103928,NUEVA VIZCAYA,Monograde,0.09
ES,Region II,Nueva Vizcaya,103929,NUEVA VIZCAYA,Monograde,0.13
ES,Region II,Nueva Vizcaya,103930,NUEVA VIZCAYA,Monograde,0.06
ES,Region II,Nueva Vizcaya,103931,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103932,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103933,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103934,NUEVA VIZCAYA,Monograde,0.12
ES,Region II,Nueva Vizcaya,103935,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103936,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103937,NUEVA VIZCAYA,Monograde,0.06
ES,Region II,Nueva Vizcaya,103938,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103939,NUEVA VIZCAYA,Monograde,0.09
ES,Region II,Nueva Vizcaya,103940,NUEVA VIZCAYA,Monograde,0.11
ES,Region II,Nueva Vizcaya,103941,NUEVA VIZCAYA,Monograde,0.07
ES,Region II,Nueva Vizcaya,103942,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103943,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.12
ES,Region II,Nueva Vizcaya,103944,NUEVA VIZCAYA,Monograde,0.07
ES,Region II,Nueva Vizcaya,103945,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103946,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103947,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103948,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103949,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103950,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103951,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103952,NUEVA VIZCAYA,Monograde,0.03
ES,Region II,Nueva Vizcaya,103953,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103954,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103955,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103956,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103957,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103958,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103959,NUEVA VIZCAYA,Monograde,0.08
ES,Region II,Nueva Vizcaya,103960,NUEVA VIZCAYA,Multigrade,0.17
ES,Region II,Nueva Vizcaya,103961,NUEVA VIZCAYA,Monograde,0.06
ES,Region II,Nueva Vizcaya,103962,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.09
ES,Region II,Nueva Vizcaya,103963,NUEVA VIZCAYA,Monograde,0.12
ES,Region II,Nueva Vizcaya,103964,NUEVA VIZCAYA,Monograde,0.06
ES,Region II,Nueva Vizcaya,103965,NUEVA VIZCAYA,Monograde,0.03
ES,Region II,Nueva Vizcaya,103966,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103967,NUEVA VIZCAYA,Monograde,0.03
ES,Region II,Nueva Vizcaya,103968,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103969,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103970,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103971,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103972,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.08
ES,Region II,Nueva Vizcaya,103973,NUEVA VIZCAYA,Monograde,0.1
ES,Region II,Nueva Vizcaya,103974,NUEVA VIZCAYA,Monograde,0.24
ES,Region II,Nueva Vizcaya,103975,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103976,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103977,NUEVA VIZCAYA,Monograde,0.04
ES,Region II,Nueva Vizcaya,103978,NUEVA VIZCAYA,Monograde,0.05
ES,Region II,Nueva Vizcaya,103979,NUEVA VIZCAYA,Monograde,0.1
ES,Region II,Nueva Vizcaya,103980,NUEVA VIZCAYA,Monograde,0.15
ES,Region II,Nueva Vizcaya,103981,NUEVA VIZCAYA,Combined Monograde and Multigrade,0.05
